MedicineName,Category,Date,UnitsSold
Paracetamol 500mg,Analgesic,2026-04-01,53
Paracetamol 500mg,Analgesic,2026-04-02,50
Paracetamol 500mg,Analgesic,2026-04-03,49
Paracetamol 500mg,Analgesic,2026-04-04,54
Paracetamol 500mg,Analgesic,2026-04-05,46
Paracetamol 500mg,Analgesic,2026-04-06,49
Paracetamol 500mg,Analgesic,2026-04-07,43
Paracetamol 500mg,Analgesic,2026-04-08,51
Paracetamol 500mg,Analgesic,2026-04-09,59
Paracetamol 500mg,Analgesic,2026-04-10,51
Paracetamol 500mg,Analgesic,2026-04-11,46
Paracetamol 500mg,Analgesic,2026-04-12,48
Paracetamol 500mg,Analgesic,2026-04-13,53
Paracetamol 500mg,Analgesic,2026-04-14,45
Paracetamol 500mg,Analgesic,2026-04-15,50
Paracetamol 500mg,Analgesic,2026-04-16,34
Paracetamol 500mg,Analgesic,2026-04-17,35
Paracetamol 500mg,Analgesic,2026-04-18,35
Paracetamol 500mg,Analgesic,2026-04-19,28
Paracetamol 500mg,Analgesic,2026-04-20,54
Paracetamol 500mg,Analgesic,2026-04-21,27
Paracetamol 500mg,Analgesic,2026-04-22,39
Paracetamol 500mg,Analgesic,2026-04-23,28
Paracetamol 500mg,Analgesic,2026-04-24,29
Paracetamol 500mg,Analgesic,2026-04-25,35
Paracetamol 500mg,Analgesic,2026-04-26,24
Paracetamol 500mg,Analgesic,2026-04-27,31
Paracetamol 500mg,Analgesic,2026-04-28,36
Paracetamol 500mg,Analgesic,2026-04-29,33
Paracetamol 500mg,Analgesic,2026-04-30,35
Paracetamol 500mg,Analgesic,2026-05-01,50
Paracetamol 500mg,Analgesic,2026-05-02,51
Paracetamol 500mg,Analgesic,2026-05-03,44
Paracetamol 500mg,Analgesic,2026-05-04,48
Paracetamol 500mg,Analgesic,2026-05-05,58
Paracetamol 500mg,Analgesic,2026-05-06,42
Paracetamol 500mg,Analgesic,2026-05-07,54
Paracetamol 500mg,Analgesic,2026-05-08,65
Paracetamol 500mg,Analgesic,2026-05-09,65
Paracetamol 500mg,Analgesic,2026-05-10,40
Paracetamol 500mg,Analgesic,2026-05-11,46
Paracetamol 500mg,Analgesic,2026-05-12,51
Paracetamol 500mg,Analgesic,2026-05-13,40
Paracetamol 500mg,Analgesic,2026-05-14,42
Paracetamol 500mg,Analgesic,2026-05-15,44
Paracetamol 500mg,Analgesic,2026-05-16,52
Paracetamol 500mg,Analgesic,2026-05-17,40
Paracetamol 500mg,Analgesic,2026-05-18,40
Paracetamol 500mg,Analgesic,2026-05-19,40
Paracetamol 500mg,Analgesic,2026-05-20,38
Paracetamol 500mg,Analgesic,2026-05-21,34
Paracetamol 500mg,Analgesic,2026-05-22,25
Paracetamol 500mg,Analgesic,2026-05-23,37
Paracetamol 500mg,Analgesic,2026-05-24,35
Paracetamol 500mg,Analgesic,2026-05-25,26
Paracetamol 500mg,Analgesic,2026-05-26,29
Paracetamol 500mg,Analgesic,2026-05-27,41
Paracetamol 500mg,Analgesic,2026-05-28,40
Paracetamol 500mg,Analgesic,2026-05-29,34
Paracetamol 500mg,Analgesic,2026-05-30,39
Paracetamol 500mg,Analgesic,2026-05-31,42
Paracetamol 500mg,Analgesic,2026-06-01,49
Paracetamol 500mg,Analgesic,2026-06-02,55
Paracetamol 500mg,Analgesic,2026-06-03,49
Paracetamol 500mg,Analgesic,2026-06-04,58
Paracetamol 500mg,Analgesic,2026-06-05,57
Paracetamol 500mg,Analgesic,2026-06-06,54
Paracetamol 500mg,Analgesic,2026-06-07,43
Paracetamol 500mg,Analgesic,2026-06-08,46
Paracetamol 500mg,Analgesic,2026-06-09,57
Paracetamol 500mg,Analgesic,2026-06-10,40
Paracetamol 500mg,Analgesic,2026-06-11,51
Paracetamol 500mg,Analgesic,2026-06-12,55
Paracetamol 500mg,Analgesic,2026-06-13,48
Paracetamol 500mg,Analgesic,2026-06-14,41
Paracetamol 500mg,Analgesic,2026-06-15,37
Paracetamol 500mg,Analgesic,2026-06-16,46
Paracetamol 500mg,Analgesic,2026-06-17,41
Paracetamol 500mg,Analgesic,2026-06-18,35
Paracetamol 500mg,Analgesic,2026-06-19,42
Paracetamol 500mg,Analgesic,2026-06-20,39
Paracetamol 500mg,Analgesic,2026-06-21,44
Paracetamol 500mg,Analgesic,2026-06-22,36
Paracetamol 500mg,Analgesic,2026-06-23,31
Paracetamol 500mg,Analgesic,2026-06-24,32
Paracetamol 500mg,Analgesic,2026-06-25,21
Paracetamol 500mg,Analgesic,2026-06-26,36
Paracetamol 500mg,Analgesic,2026-06-27,36
Paracetamol 500mg,Analgesic,2026-06-28,30
Paracetamol 500mg,Analgesic,2026-06-29,40
Amoxicillin 250mg,Antibiotic,2026-01-01,13
Amoxicillin 250mg,Antibiotic,2026-01-02,16
Amoxicillin 250mg,Antibiotic,2026-01-03,12
Amoxicillin 250mg,Antibiotic,2026-01-04,12
Amoxicillin 250mg,Antibiotic,2026-01-05,12
Amoxicillin 250mg,Antibiotic,2026-01-06,13
Amoxicillin 250mg,Antibiotic,2026-01-07,14
Amoxicillin 250mg,Antibiotic,2026-01-08,15
Amoxicillin 250mg,Antibiotic,2026-01-09,15
Amoxicillin 250mg,Antibiotic,2026-01-10,16
Amoxicillin 250mg,Antibiotic,2026-01-11,14
Amoxicillin 250mg,Antibiotic,2026-01-12,16
Amoxicillin 250mg,Antibiotic,2026-01-13,13
Amoxicillin 250mg,Antibiotic,2026-01-14,18
Amoxicillin 250mg,Antibiotic,2026-01-15,13
Amoxicillin 250mg,Antibiotic,2026-01-16,10
Amoxicillin 250mg,Antibiotic,2026-01-17,9
Amoxicillin 250mg,Antibiotic,2026-01-18,11
Amoxicillin 250mg,Antibiotic,2026-01-19,9
Amoxicillin 250mg,Antibiotic,2026-01-20,11
Amoxicillin 250mg,Antibiotic,2026-01-21,10
Amoxicillin 250mg,Antibiotic,2026-01-22,8
Amoxicillin 250mg,Antibiotic,2026-01-23,7
Amoxicillin 250mg,Antibiotic,2026-01-24,6
Amoxicillin 250mg,Antibiotic,2026-01-25,8
Amoxicillin 250mg,Antibiotic,2026-01-26,10
Amoxicillin 250mg,Antibiotic,2026-01-27,10
Amoxicillin 250mg,Antibiotic,2026-01-28,7
Amoxicillin 250mg,Antibiotic,2026-01-29,11
Amoxicillin 250mg,Antibiotic,2026-01-30,12
Amoxicillin 250mg,Antibiotic,2026-01-31,10
Amoxicillin 250mg,Antibiotic,2026-02-01,12
Amoxicillin 250mg,Antibiotic,2026-02-02,13
Amoxicillin 250mg,Antibiotic,2026-02-03,11
Amoxicillin 250mg,Antibiotic,2026-02-04,14
Amoxicillin 250mg,Antibiotic,2026-02-05,15
Amoxicillin 250mg,Antibiotic,2026-02-06,16
Amoxicillin 250mg,Antibiotic,2026-02-07,16
Amoxicillin 250mg,Antibiotic,2026-02-08,12
Amoxicillin 250mg,Antibiotic,2026-02-09,13
Amoxicillin 250mg,Antibiotic,2026-02-10,15
Amoxicillin 250mg,Antibiotic,2026-02-11,15
Amoxicillin 250mg,Antibiotic,2026-02-12,14
Amoxicillin 250mg,Antibiotic,2026-02-13,20
Amoxicillin 250mg,Antibiotic,2026-02-14,13
Amoxicillin 250mg,Antibiotic,2026-02-15,14
Amoxicillin 250mg,Antibiotic,2026-02-16,13
Amoxicillin 250mg,Antibiotic,2026-02-17,11
Amoxicillin 250mg,Antibiotic,2026-02-18,9
Amoxicillin 250mg,Antibiotic,2026-02-19,11
Amoxicillin 250mg,Antibiotic,2026-02-20,7
Amoxicillin 250mg,Antibiotic,2026-02-21,8
Amoxicillin 250mg,Antibiotic,2026-02-22,8
Amoxicillin 250mg,Antibiotic,2026-02-23,9
Amoxicillin 250mg,Antibiotic,2026-02-24,13
Amoxicillin 250mg,Antibiotic,2026-02-25,5
Amoxicillin 250mg,Antibiotic,2026-02-26,10
Amoxicillin 250mg,Antibiotic,2026-02-27,7
Amoxicillin 250mg,Antibiotic,2026-02-28,9
Amoxicillin 250mg,Antibiotic,2026-03-01,13
Amoxicillin 250mg,Antibiotic,2026-03-02,12
Amoxicillin 250mg,Antibiotic,2026-03-03,10
Amoxicillin 250mg,Antibiotic,2026-03-04,11
Amoxicillin 250mg,Antibiotic,2026-03-05,15
Amoxicillin 250mg,Antibiotic,2026-03-06,12
Amoxicillin 250mg,Antibiotic,2026-03-07,15
Amoxicillin 250mg,Antibiotic,2026-03-08,14
Amoxicillin 250mg,Antibiotic,2026-03-09,13
Amoxicillin 250mg,Antibiotic,2026-03-10,18
Amoxicillin 250mg,Antibiotic,2026-03-11,16
Amoxicillin 250mg,Antibiotic,2026-03-12,11
Amoxicillin 250mg,Antibiotic,2026-03-13,14
Amoxicillin 250mg,Antibiotic,2026-03-14,12
Amoxicillin 250mg,Antibiotic,2026-03-15,14
Amoxicillin 250mg,Antibiotic,2026-03-16,11
Amoxicillin 250mg,Antibiotic,2026-03-17,11
Amoxicillin 250mg,Antibiotic,2026-03-18,12
Amoxicillin 250mg,Antibiotic,2026-03-19,12
Amoxicillin 250mg,Antibiotic,2026-03-20,8
Amoxicillin 250mg,Antibiotic,2026-03-21,9
Amoxicillin 250mg,Antibiotic,2026-03-22,8
Amoxicillin 250mg,Antibiotic,2026-03-23,7
Amoxicillin 250mg,Antibiotic,2026-03-24,12
Amoxicillin 250mg,Antibiotic,2026-03-25,9
Amoxicillin 250mg,Antibiotic,2026-03-26,6
Amoxicillin 250mg,Antibiotic,2026-03-27,11
Amoxicillin 250mg,Antibiotic,2026-03-28,13
Amoxicillin 250mg,Antibiotic,2026-03-29,12
Amoxicillin 250mg,Antibiotic,2026-03-30,8
Amoxicillin 250mg,Antibiotic,2026-03-31,10
Amoxicillin 250mg,Antibiotic,2026-04-01,14
Amoxicillin 250mg,Antibiotic,2026-04-02,11
Amoxicillin 250mg,Antibiotic,2026-04-03,14
Amoxicillin 250mg,Antibiotic,2026-04-04,15
Amoxicillin 250mg,Antibiotic,2026-04-05,12
Amoxicillin 250mg,Antibiotic,2026-04-06,14
Amoxicillin 250mg,Antibiotic,2026-04-07,9
Amoxicillin 250mg,Antibiotic,2026-04-08,13
Amoxicillin 250mg,Antibiotic,2026-04-09,14
Amoxicillin 250mg,Antibiotic,2026-04-10,12
Amoxicillin 250mg,Antibiotic,2026-04-11,17
Amoxicillin 250mg,Antibiotic,2026-04-12,11
Amoxicillin 250mg,Antibiotic,2026-04-13,13
Amoxicillin 250mg,Antibiotic,2026-04-14,13
Amoxicillin 250mg,Antibiotic,2026-04-15,15
Amoxicillin 250mg,Antibiotic,2026-04-16,9
Amoxicillin 250mg,Antibiotic,2026-04-17,13
Amoxicillin 250mg,Antibiotic,2026-04-18,10
Amoxicillin 250mg,Antibiotic,2026-04-19,8
Amoxicillin 250mg,Antibiotic,2026-04-20,10
Amoxicillin 250mg,Antibiotic,2026-04-21,9
Amoxicillin 250mg,Antibiotic,2026-04-22,8
Amoxicillin 250mg,Antibiotic,2026-04-23,9
Amoxicillin 250mg,Antibiotic,2026-04-24,8
Amoxicillin 250mg,Antibiotic,2026-04-25,9
Amoxicillin 250mg,Antibiotic,2026-04-26,10
Amoxicillin 250mg,Antibiotic,2026-04-27,12
Amoxicillin 250mg,Antibiotic,2026-04-28,7
Amoxicillin 250mg,Antibiotic,2026-04-29,14
Amoxicillin 250mg,Antibiotic,2026-04-30,7
Amoxicillin 250mg,Antibiotic,2026-05-01,11
Amoxicillin 250mg,Antibiotic,2026-05-02,13
Amoxicillin 250mg,Antibiotic,2026-05-03,13
Amoxicillin 250mg,Antibiotic,2026-05-04,12
Amoxicillin 250mg,Antibiotic,2026-05-05,13
Amoxicillin 250mg,Antibiotic,2026-05-06,13
Amoxicillin 250mg,Antibiotic,2026-05-07,13
Amoxicillin 250mg,Antibiotic,2026-05-08,16
Amoxicillin 250mg,Antibiotic,2026-05-09,15
Amoxicillin 250mg,Antibiotic,2026-05-10,13
Amoxicillin 250mg,Antibiotic,2026-05-11,16
Amoxicillin 250mg,Antibiotic,2026-05-12,14
Amoxicillin 250mg,Antibiotic,2026-05-13,15
Amoxicillin 250mg,Antibiotic,2026-05-14,14
Amoxicillin 250mg,Antibiotic,2026-05-15,11
Amoxicillin 250mg,Antibiotic,2026-05-16,10
Amoxicillin 250mg,Antibiotic,2026-05-17,12
Amoxicillin 250mg,Antibiotic,2026-05-18,11
Amoxicillin 250mg,Antibiotic,2026-05-19,10
Amoxicillin 250mg,Antibiotic,2026-05-20,9
Amoxicillin 250mg,Antibiotic,2026-05-21,11
Amoxicillin 250mg,Antibiotic,2026-05-22,8
Amoxicillin 250mg,Antibiotic,2026-05-23,9
Amoxicillin 250mg,Antibiotic,2026-05-24,8
Amoxicillin 250mg,Antibiotic,2026-05-25,8
Amoxicillin 250mg,Antibiotic,2026-05-26,11
Amoxicillin 250mg,Antibiotic,2026-05-27,11
Amoxicillin 250mg,Antibiotic,2026-05-28,11
Amoxicillin 250mg,Antibiotic,2026-05-29,13
Amoxicillin 250mg,Antibiotic,2026-05-30,11
Amoxicillin 250mg,Antibiotic,2026-05-31,13
Amoxicillin 250mg,Antibiotic,2026-06-01,12
Amoxicillin 250mg,Antibiotic,2026-06-02,13
Amoxicillin 250mg,Antibiotic,2026-06-03,13
Amoxicillin 250mg,Antibiotic,2026-06-04,14
Amoxicillin 250mg,Antibiotic,2026-06-05,15
Amoxicillin 250mg,Antibiotic,2026-06-06,13
Amoxicillin 250mg,Antibiotic,2026-06-07,18
Amoxicillin 250mg,Antibiotic,2026-06-08,13
Amoxicillin 250mg,Antibiotic,2026-06-09,12
Amoxicillin 250mg,Antibiotic,2026-06-10,16
Amoxicillin 250mg,Antibiotic,2026-06-11,15
Amoxicillin 250mg,Antibiotic,2026-06-12,14
Amoxicillin 250mg,Antibiotic,2026-06-13,14
Amoxicillin 250mg,Antibiotic,2026-06-14,12
Amoxicillin 250mg,Antibiotic,2026-06-15,10
Amoxicillin 250mg,Antibiotic,2026-06-16,11
Amoxicillin 250mg,Antibiotic,2026-06-17,9
Amoxicillin 250mg,Antibiotic,2026-06-18,11
Amoxicillin 250mg,Antibiotic,2026-06-19,9
Amoxicillin 250mg,Antibiotic,2026-06-20,7
Amoxicillin 250mg,Antibiotic,2026-06-21,8
Amoxicillin 250mg,Antibiotic,2026-06-22,9
Amoxicillin 250mg,Antibiotic,2026-06-23,7
Amoxicillin 250mg,Antibiotic,2026-06-24,7
Amoxicillin 250mg,Antibiotic,2026-06-25,9
Amoxicillin 250mg,Antibiotic,2026-06-26,10
Amoxicillin 250mg,Antibiotic,2026-06-27,9
Amoxicillin 250mg,Antibiotic,2026-06-28,9
Amoxicillin 250mg,Antibiotic,2026-06-29,11
Cetirizine 10mg,Antihistamine,2026-01-01,47
Cetirizine 10mg,Antihistamine,2026-01-02,43
Cetirizine 10mg,Antihistamine,2026-01-03,40
Cetirizine 10mg,Antihistamine,2026-01-04,45
Cetirizine 10mg,Antihistamine,2026-01-05,44
Cetirizine 10mg,Antihistamine,2026-01-06,48
Cetirizine 10mg,Antihistamine,2026-01-07,51
Cetirizine 10mg,Antihistamine,2026-01-08,37
Cetirizine 10mg,Antihistamine,2026-01-09,29
Cetirizine 10mg,Antihistamine,2026-01-10,41
Cetirizine 10mg,Antihistamine,2026-01-11,37
Cetirizine 10mg,Antihistamine,2026-01-12,48
Cetirizine 10mg,Antihistamine,2026-01-13,38
Cetirizine 10mg,Antihistamine,2026-01-14,30
Cetirizine 10mg,Antihistamine,2026-01-15,38
Cetirizine 10mg,Antihistamine,2026-01-16,31
Cetirizine 10mg,Antihistamine,2026-01-17,50
Cetirizine 10mg,Antihistamine,2026-01-18,42
Cetirizine 10mg,Antihistamine,2026-01-19,43
Cetirizine 10mg,Antihistamine,2026-01-20,42
Cetirizine 10mg,Antihistamine,2026-01-21,43
Cetirizine 10mg,Antihistamine,2026-01-22,45
Cetirizine 10mg,Antihistamine,2026-01-23,34
Cetirizine 10mg,Antihistamine,2026-01-24,29
Cetirizine 10mg,Antihistamine,2026-01-25,33
Cetirizine 10mg,Antihistamine,2026-01-26,38
Cetirizine 10mg,Antihistamine,2026-01-27,23
Cetirizine 10mg,Antihistamine,2026-01-28,46
Cetirizine 10mg,Antihistamine,2026-01-29,28
Cetirizine 10mg,Antihistamine,2026-01-30,44
Cetirizine 10mg,Antihistamine,2026-01-31,39
Cetirizine 10mg,Antihistamine,2026-02-01,43
Cetirizine 10mg,Antihistamine,2026-02-02,39
Cetirizine 10mg,Antihistamine,2026-02-03,44
Cetirizine 10mg,Antihistamine,2026-02-04,40
Cetirizine 10mg,Antihistamine,2026-02-05,40
Cetirizine 10mg,Antihistamine,2026-02-06,38
Cetirizine 10mg,Antihistamine,2026-02-07,53
Cetirizine 10mg,Antihistamine,2026-02-08,46
Cetirizine 10mg,Antihistamine,2026-02-09,45
Cetirizine 10mg,Antihistamine,2026-02-10,38
Cetirizine 10mg,Antihistamine,2026-02-11,41
Cetirizine 10mg,Antihistamine,2026-02-12,36
Cetirizine 10mg,Antihistamine,2026-02-13,39
Cetirizine 10mg,Antihistamine,2026-02-14,34
Cetirizine 10mg,Antihistamine,2026-02-15,50
Cetirizine 10mg,Antihistamine,2026-02-16,35
Cetirizine 10mg,Antihistamine,2026-02-17,34
Cetirizine 10mg,Antihistamine,2026-02-18,31
Cetirizine 10mg,Antihistamine,2026-02-19,34
Cetirizine 10mg,Antihistamine,2026-02-20,35
Cetirizine 10mg,Antihistamine,2026-02-21,37
Cetirizine 10mg,Antihistamine,2026-02-22,34
Cetirizine 10mg,Antihistamine,2026-02-23,28
Cetirizine 10mg,Antihistamine,2026-02-24,28
Cetirizine 10mg,Antihistamine,2026-02-25,42
Cetirizine 10mg,Antihistamine,2026-02-26,38
Cetirizine 10mg,Antihistamine,2026-02-27,43
Cetirizine 10mg,Antihistamine,2026-02-28,44
Cetirizine 10mg,Antihistamine,2026-03-01,41
Cetirizine 10mg,Antihistamine,2026-03-02,33
Cetirizine 10mg,Antihistamine,2026-03-03,42
Cetirizine 10mg,Antihistamine,2026-03-04,50
Cetirizine 10mg,Antihistamine,2026-03-05,39
Cetirizine 10mg,Antihistamine,2026-03-06,45
Cetirizine 10mg,Antihistamine,2026-03-07,43
Cetirizine 10mg,Antihistamine,2026-03-08,52
Cetirizine 10mg,Antihistamine,2026-03-09,39
Cetirizine 10mg,Antihistamine,2026-03-10,50
Cetirizine 10mg,Antihistamine,2026-03-11,41
Cetirizine 10mg,Antihistamine,2026-03-12,39
Cetirizine 10mg,Antihistamine,2026-03-13,43
Cetirizine 10mg,Antihistamine,2026-03-14,44
Cetirizine 10mg,Antihistamine,2026-03-15,53
Cetirizine 10mg,Antihistamine,2026-03-16,43
Cetirizine 10mg,Antihistamine,2026-03-17,42
Cetirizine 10mg,Antihistamine,2026-03-18,50
Cetirizine 10mg,Antihistamine,2026-03-19,43
Cetirizine 10mg,Antihistamine,2026-03-20,35
Cetirizine 10mg,Antihistamine,2026-03-21,47
Cetirizine 10mg,Antihistamine,2026-03-22,33
Cetirizine 10mg,Antihistamine,2026-03-23,34
Cetirizine 10mg,Antihistamine,2026-03-24,32
Cetirizine 10mg,Antihistamine,2026-03-25,32
Cetirizine 10mg,Antihistamine,2026-03-26,40
Cetirizine 10mg,Antihistamine,2026-03-27,36
Cetirizine 10mg,Antihistamine,2026-03-28,17
Cetirizine 10mg,Antihistamine,2026-03-29,37
Cetirizine 10mg,Antihistamine,2026-03-30,36
Cetirizine 10mg,Antihistamine,2026-03-31,45
Cetirizine 10mg,Antihistamine,2026-04-01,37
Cetirizine 10mg,Antihistamine,2026-04-02,57
Cetirizine 10mg,Antihistamine,2026-04-03,50
Cetirizine 10mg,Antihistamine,2026-04-04,40
Cetirizine 10mg,Antihistamine,2026-04-05,50
Cetirizine 10mg,Antihistamine,2026-04-06,46
Cetirizine 10mg,Antihistamine,2026-04-07,45
Cetirizine 10mg,Antihistamine,2026-04-08,48
Cetirizine 10mg,Antihistamine,2026-04-09,44
Cetirizine 10mg,Antihistamine,2026-04-10,45
Cetirizine 10mg,Antihistamine,2026-04-11,48
Cetirizine 10mg,Antihistamine,2026-04-12,55
Cetirizine 10mg,Antihistamine,2026-04-13,44
Cetirizine 10mg,Antihistamine,2026-04-14,39
Cetirizine 10mg,Antihistamine,2026-04-15,29
Cetirizine 10mg,Antihistamine,2026-04-16,53
Cetirizine 10mg,Antihistamine,2026-04-17,38
Cetirizine 10mg,Antihistamine,2026-04-18,43
Cetirizine 10mg,Antihistamine,2026-04-19,51
Cetirizine 10mg,Antihistamine,2026-04-20,40
Cetirizine 10mg,Antihistamine,2026-04-21,37
Cetirizine 10mg,Antihistamine,2026-04-22,47
Cetirizine 10mg,Antihistamine,2026-04-23,40
Cetirizine 10mg,Antihistamine,2026-04-24,41
Cetirizine 10mg,Antihistamine,2026-04-25,28
Cetirizine 10mg,Antihistamine,2026-04-26,45
Cetirizine 10mg,Antihistamine,2026-04-27,41
Cetirizine 10mg,Antihistamine,2026-04-28,30
Cetirizine 10mg,Antihistamine,2026-04-29,42
Cetirizine 10mg,Antihistamine,2026-04-30,27
Cetirizine 10mg,Antihistamine,2026-05-01,55
Cetirizine 10mg,Antihistamine,2026-05-02,34
Cetirizine 10mg,Antihistamine,2026-05-03,52
Cetirizine 10mg,Antihistamine,2026-05-04,37
Cetirizine 10mg,Antihistamine,2026-05-05,46
Cetirizine 10mg,Antihistamine,2026-05-06,37
Cetirizine 10mg,Antihistamine,2026-05-07,49
Cetirizine 10mg,Antihistamine,2026-05-08,42
Cetirizine 10mg,Antihistamine,2026-05-09,46
Cetirizine 10mg,Antihistamine,2026-05-10,43
Cetirizine 10mg,Antihistamine,2026-05-11,35
Cetirizine 10mg,Antihistamine,2026-05-12,46
Cetirizine 10mg,Antihistamine,2026-05-13,39
Cetirizine 10mg,Antihistamine,2026-05-14,48
Cetirizine 10mg,Antihistamine,2026-05-15,40
Cetirizine 10mg,Antihistamine,2026-05-16,40
Cetirizine 10mg,Antihistamine,2026-05-17,50
Cetirizine 10mg,Antihistamine,2026-05-18,54
Cetirizine 10mg,Antihistamine,2026-05-19,44
Cetirizine 10mg,Antihistamine,2026-05-20,37
Cetirizine 10mg,Antihistamine,2026-05-21,36
Cetirizine 10mg,Antihistamine,2026-05-22,33
Cetirizine 10mg,Antihistamine,2026-05-23,34
Cetirizine 10mg,Antihistamine,2026-05-24,36
Cetirizine 10mg,Antihistamine,2026-05-25,50
Cetirizine 10mg,Antihistamine,2026-05-26,37
Cetirizine 10mg,Antihistamine,2026-05-27,31
Cetirizine 10mg,Antihistamine,2026-05-28,39
Cetirizine 10mg,Antihistamine,2026-05-29,40
Cetirizine 10mg,Antihistamine,2026-05-30,40
Cetirizine 10mg,Antihistamine,2026-05-31,45
Cetirizine 10mg,Antihistamine,2026-06-01,42
Cetirizine 10mg,Antihistamine,2026-06-02,46
Cetirizine 10mg,Antihistamine,2026-06-03,37
Cetirizine 10mg,Antihistamine,2026-06-04,54
Cetirizine 10mg,Antihistamine,2026-06-05,45
Cetirizine 10mg,Antihistamine,2026-06-06,46
